Year Default Low High
2013 $0.02 $0.01 $0.06
2014 $0.02 $0.01 $0.06
2015 $0.02 $0.01 $0.07
2016 $0.02 $0.01 $0.07
2017 $0.02 $0.02 $0.07
2018 $0.02 $0.02 $0.08
2019 $0.02 $0.02 $0.08
2020 $0.03 $0.02 $0.09
2021 $0.03 $0.02 $0.09
2022 $0.03 $0.02 $0.09
2023 $0.03 $0.02 $0.10
2024 $0.03 $0.02 $0.10
2025 $0.03 $0.02 $0.11
2026 $0.04 $0.02 $0.11
2027 $0.04 $0.03 $0.12
2028 $0.04 $0.03 $0.13
2029 $0.04 $0.03 $0.13
2030 $0.04 $0.03 $0.14
2031 $0.04 $0.03 $0.15
2032 $0.05 $0.03 $0.15
2033 $0.05 $0.03 $0.16
2034 $0.05 $0.04 $0.17
2035 $0.05 $0.04 $0.18
2036 $0.06 $0.04 $0.19
2037 $0.06 $0.04 $0.19
2038 $0.06 $0.04 $0.20
2039 $0.07 $0.05 $0.21
2040 $0.07 $0.05 $0.23
2041 $0.07 $0.05 $0.24
2042 $0.08 $0.05 $0.25
2043 $0.08 $0.06 $0.26
