"     4396.09",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Total Site Energy","Total Energy",GJ,1
"      796.63",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Total Site Energy","Energy Per Total Building Area",MJ/m2,1
"      796.63",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Total Site Energy","Energy Per Conditioned Building Area",MJ/m2,1
"     4396.09",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Net Site Energy","Total Energy",GJ,2
"      796.63",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Net Site Energy","Energy Per Total Building Area",MJ/m2,2
"      796.63",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Net Site Energy","Energy Per Conditioned Building Area",MJ/m2,2
"    12323.88",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Total Source Energy","Total Energy",GJ,3
"     2233.26",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Total Source Energy","Energy Per Total Building Area",MJ/m2,3
"     2233.26",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Total Source Energy","Energy Per Conditioned Building Area",MJ/m2,3
"    12323.88",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Net Source Energy","Total Energy",GJ,4
"     2233.26",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Net Source Energy","Energy Per Total Building Area",MJ/m2,4
"     2233.26",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site and Source Energy","Net Source Energy","Energy Per Conditioned Building Area",MJ/m2,4
"       3.576",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors",Electricity,"Site=>Source Conversion Factor","",1
"       1.092",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","Natural Gas","Site=>Source Conversion Factor","",2
"       1.192",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","District Cooling","Site=>Source Conversion Factor","",3
"       3.640",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","District Heating","Site=>Source Conversion Factor","",4
"       0.250",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors",Steam,"Site=>Source Conversion Factor","",5
"       1.050",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors",Gasoline,"Site=>Source Conversion Factor","",6
"       1.050",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors",Diesel,"Site=>Source Conversion Factor","",7
"       1.050",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors",Coal,"Site=>Source Conversion Factor","",8
"       1.050",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","Fuel Oil #1","Site=>Source Conversion Factor","",9
"       1.050",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","Fuel Oil #2","Site=>Source Conversion Factor","",10
"       1.050",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors",Propane,"Site=>Source Conversion Factor","",11
"       1.000",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","Other Fuel 1","Site=>Source Conversion Factor","",12
"       1.000",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Site to Source Energy Conversion Factors","Other Fuel 2","Site=>Source Conversion Factor","",13
"     5518.33",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Building Area","Total Building Area",Area,m2,1
"     5518.33",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Building Area","Net Conditioned Building Area",Area,m2,2
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","Building Area","Unconditioned Building Area",Area,m2,3
"        0.48",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Heating,Electricity,GJ,1
"     1324.44",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Heating,"Natural Gas",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Heating,"Additional Fuel",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Heating,"District Cooling",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Heating,"District Heating",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Heating,Water,m3,1
"      615.57",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Cooling,Electricity,GJ,2
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Cooling,"Natural Gas",GJ,2
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Cooling,"Additional Fuel",GJ,2
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Cooling,"District Cooling",GJ,2
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Cooling,"District Heating",GJ,2
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Cooling,Water,m3,2
"      920.36",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Lighting",Electricity,GJ,3
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Lighting","Natural Gas",GJ,3
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Lighting","Additional Fuel",GJ,3
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Lighting","District Cooling",GJ,3
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Lighting","District Heating",GJ,3
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Lighting",Water,m3,3
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Lighting",Electricity,GJ,4
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Lighting","Natural Gas",GJ,4
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Lighting","Additional Fuel",GJ,4
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Lighting","District Cooling",GJ,4
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Lighting","District Heating",GJ,4
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Lighting",Water,m3,4
"     1053.16",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Equipment",Electricity,GJ,5
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Equipment","Natural Gas",GJ,5
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Equipment","Additional Fuel",GJ,5
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Equipment","District Cooling",GJ,5
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Equipment","District Heating",GJ,5
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Interior Equipment",Water,m3,5
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Equipment",Electricity,GJ,6
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Equipment","Natural Gas",GJ,6
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Equipment","Additional Fuel",GJ,6
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Equipment","District Cooling",GJ,6
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Equipment","District Heating",GJ,6
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Exterior Equipment",Water,m3,6
"      425.54",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Fans,Electricity,GJ,7
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Fans,"Natural Gas",GJ,7
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Fans,"Additional Fuel",GJ,7
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Fans,"District Cooling",GJ,7
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Fans,"District Heating",GJ,7
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Fans,Water,m3,7
"       13.62",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Pumps,Electricity,GJ,8
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Pumps,"Natural Gas",GJ,8
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Pumps,"Additional Fuel",GJ,8
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Pumps,"District Cooling",GJ,8
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Pumps,"District Heating",GJ,8
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Pumps,Water,m3,8
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Rejection",Electricity,GJ,9
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Rejection","Natural Gas",GJ,9
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Rejection","Additional Fuel",GJ,9
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Rejection","District Cooling",GJ,9
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Rejection","District Heating",GJ,9
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Rejection",Water,m3,9
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Humidification,Electricity,GJ,10
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Humidification,"Natural Gas",GJ,10
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Humidification,"Additional Fuel",GJ,10
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Humidification,"District Cooling",GJ,10
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Humidification,"District Heating",GJ,10
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Humidification,Water,m3,10
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Recovery",Electricity,GJ,11
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Recovery","Natural Gas",GJ,11
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Recovery","Additional Fuel",GJ,11
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Recovery","District Cooling",GJ,11
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Recovery","District Heating",GJ,11
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Heat Recovery",Water,m3,11
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Water Systems",Electricity,GJ,12
"       42.92",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Water Systems","Natural Gas",GJ,12
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Water Systems","Additional Fuel",GJ,12
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Water Systems","District Cooling",GJ,12
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Water Systems","District Heating",GJ,12
"      171.44",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Water Systems",Water,m3,12
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Refrigeration,Electricity,GJ,13
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Refrigeration,"Natural Gas",GJ,13
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Refrigeration,"Additional Fuel",GJ,13
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Refrigeration,"District Cooling",GJ,13
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Refrigeration,"District Heating",GJ,13
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Refrigeration,Water,m3,13
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Generators,Electricity,GJ,14
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Generators,"Natural Gas",GJ,14
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Generators,"Additional Fuel",GJ,14
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Generators,"District Cooling",GJ,14
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Generators,"District Heating",GJ,14
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses",Generators,Water,m3,14
"",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","",Electricity,GJ,15
"",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","","Natural Gas",GJ,15
"",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","","Additional Fuel",GJ,15
"",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","","District Cooling",GJ,15
"",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","","District Heating",GJ,15
"",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","",Water,m3,15
"     3028.73",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Total End Uses",Electricity,GJ,16
"     1367.36",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Total End Uses","Natural Gas",GJ,16
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Total End Uses","Additional Fuel",GJ,16
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Total End Uses","District Cooling",GJ,16
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Total End Uses","District Heating",GJ,16
"      171.44",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses","Total End Uses",Water,m3,16
Boiler,AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,Subcategory,"",1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,Electricity,GJ,1
"     1324.44",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,"Natural Gas",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,"Additional Fuel",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,"District Cooling",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,"District Heating",GJ,1
"        0.00",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory",Heating,Water,m3,1
"Boiler Parasitic",AnnualBuildingUtilityPerformanceSummary,"Entire Facility","End Uses By Subcategory","",Subcategory,"",2
